
Начало новой программы
[20 ноября 2018 | 10:53:25][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:26][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:27][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:27][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:28][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:28][Robot]-Робот повернулся на лево
[20 ноября 2018 | 10:53:28][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:29][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:29][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:29][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:29][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:29][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:30][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:30][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:30][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:30][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:30][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:32][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:32][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:32][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:33][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:33][Robot]-Робот погрузил деталь
[20 ноября 2018 | 10:53:34][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:34][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:34][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:34][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:34][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:35][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:35][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:35][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:35][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:36][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:36][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:36][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:36][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:36][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:37][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:37][Robot]-Робот повернулся на право
[20 ноября 2018 | 10:53:37][Robot]-Робот повернулся на право

Начало новой программы
[20 ноября 2018 | 10:53:43][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:43][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:43][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:44][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:44][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:44][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:45][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:45][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:45][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:45][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:45][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:46][Robot]-Робот прошел вперед
